CGPA,Internships,Projects,Technical_Skills_Score,Core_Backlogs,Placed
6.12,0,2,53,1,1
9.82,3,3,62,0,1
5.06,3,4,72,1,1
9.85,1,2,57,0,1
5.22,2,4,67,1,1
9.46,3,4,61,2,1
7.64,3,0,80,1,1
9.96,2,2,63,2,1
5.37,3,2,83,1,1
7.77,3,4,67,1,1
9.85,1,3,83,1,1
7.62,0,0,60,2,1
8.15,0,4,90,2,1
8.48,0,1,61,1,1
7.27,0,1,98,0,1
8.14,3,0,64,1,1
7.92,2,3,80,2,1
9.51,2,4,98,1,1
5.23,1,2,78,2,1
6.4,1,0,75,2,0
9.75,3,3,67,2,1
9.45,2,2,81,1,1
7.28,2,1,71,2,0
8.1,0,1,87,2,1
6.39,3,2,66,1,1
5.94,3,0,72,2,1
7.32,0,1,73,1,1
6.77,3,4,99,2,1
7.92,3,2,57,0,1
5.39,1,2,90,0,1
9.87,2,1,55,2,1
9.93,3,0,54,0,1
8.49,1,4,93,1,1
7.68,2,0,78,0,1
6.55,0,3,77,2,1
9.07,1,3,60,2,1
8.42,1,1,50,1,1
5.81,2,1,92,2,1
9.55,0,1,68,1,1
9.11,1,3,58,0,1
9.75,3,0,76,0,1
8.63,3,0,83,1,1
8.07,3,1,93,1,1
7.09,0,4,53,2,1
9.66,1,0,85,0,1
9.33,3,3,67,1,1
5.23,0,2,64,0,1
5.13,3,2,100,1,1
6.88,2,2,62,0,1
9.05,1,4,68,2,1
9.94,1,1,98,0,1
5.75,0,3,55,0,1
7.97,0,4,97,0,1
6.9,1,3,61,0,1
9.85,3,3,100,0,1
9.21,3,1,86,2,1
9.19,2,2,66,1,1
7.34,3,1,72,0,1
7.07,0,4,75,2,1
6.37,0,4,78,0,1
5.28,3,4,82,0,1
9.32,0,1,76,1,1
9.06,1,3,74,0,1
10.0,1,3,59,2,1
9.98,3,0,96,2,1
7.78,1,4,72,1,1
8.84,1,3,70,0,1
9.72,2,0,70,2,1
9.25,2,3,92,0,1
6.24,1,4,62,0,0
7.25,3,2,86,0,1
5.65,2,4,82,1,1
9.77,0,1,73,0,1
8.03,0,3,93,2,1
6.14,0,3,60,0,1
8.36,3,1,66,2,1
8.09,1,1,53,0,1
6.79,0,2,96,2,1
5.57,3,3,74,2,1
8.36,2,3,79,0,1
7.6,1,2,58,0,1
8.86,2,0,70,2,1
7.6,3,2,69,1,1
9.26,0,4,68,0,1
7.76,0,3,68,1,1
7.8,3,1,61,0,1
9.38,0,4,86,0,1
7.02,1,3,91,0,1
5.67,3,2,66,0,1
5.14,2,4,86,1,1
8.78,3,3,97,0,1
8.1,1,0,88,2,1
8.52,1,0,77,2,1
6.06,3,1,90,1,1
5.68,3,3,84,0,1
5.07,0,0,96,2,0
6.75,1,2,97,1,1
7.95,3,3,67,0,1
6.96,3,2,63,2,1
7.19,1,2,84,2,1
9.52,3,0,93,1,1
6.74,0,3,90,0,1
7.57,1,4,56,0,1
8.92,0,0,90,2,1
6.98,0,0,62,2,0
8.11,0,3,67,2,1
9.31,0,3,86,0,1
9.75,1,2,62,1,1
5.74,0,3,85,1,1
9.63,0,2,80,0,1
7.46,3,0,51,1,1
6.29,1,1,65,2,1
7.3,1,4,58,1,1
9.9,2,0,58,1,1
7.46,1,3,87,1,1
6.64,1,4,60,2,1
8.17,2,1,71,0,1
6.2,1,1,82,2,1
5.38,1,2,85,0,1
5.64,1,4,94,0,1
5.64,1,2,72,0,1
5.76,2,0,94,1,0
5.69,1,4,94,1,1
8.2,1,0,83,0,1
5.91,2,2,58,0,1
6.73,3,4,73,1,1
9.48,0,2,57,2,1
7.37,3,4,56,0,1
8.34,2,2,85,2,1
5.86,0,1,67,1,1
5.96,2,2,52,0,1
5.2,2,1,77,2,1
5.84,1,2,55,2,0
6.39,0,4,93,2,1
5.89,1,4,93,1,1
5.44,0,4,70,1,1
5.6,2,3,77,2,1
7.3,2,0,89,2,1
6.03,3,4,50,1,1
6.82,0,1,85,2,1
7.52,1,4,70,2,1
8.45,3,3,92,1,1
5.2,3,1,84,2,0
9.0,3,3,62,2,1
8.14,1,1,98,2,1
5.41,3,2,59,1,1
9.37,1,0,93,2,1
9.6,3,0,96,1,1
5.31,1,3,59,1,1
6.38,2,0,95,0,1
9.03,2,3,62,0,1
8.74,2,3,86,2,1
5.92,2,3,87,1,1
6.05,2,0,73,0,1
6.85,3,3,51,2,1
7.42,3,0,71,0,1
8.09,3,3,66,0,1
6.84,1,4,85,1,1
7.31,1,3,63,1,1
8.74,1,1,59,0,1
5.18,1,3,84,0,0
6.26,2,2,74,1,1
8.57,2,3,52,2,1
9.48,2,1,96,1,1
7.56,0,1,87,0,1
7.66,3,0,66,2,0
5.54,1,4,61,0,1
7.24,1,3,73,2,1
7.66,2,0,78,0,1
6.21,1,4,92,2,1
6.35,1,3,74,2,1
6.89,3,2,85,0,1
5.1,2,3,75,2,0
6.61,3,1,87,1,1
6.06,0,1,50,0,1
6.64,0,2,69,1,0
5.6,0,0,77,0,1
9.45,2,4,65,2,1
7.97,1,3,96,2,0
8.4,2,1,66,2,1
8.95,2,0,89,0,1
7.49,1,2,77,1,1
5.43,3,1,61,1,0
7.69,0,2,76,0,1
7.93,3,3,91,0,1
8.73,0,4,96,1,1
7.16,2,1,79,1,1
5.64,0,1,90,1,0
6.42,2,3,83,1,1
6.82,3,0,86,0,1
8.23,2,4,55,0,1
7.85,3,1,56,2,1
6.78,1,4,81,1,1
9.93,1,1,81,2,1
8.03,1,4,74,0,1
6.19,2,2,82,0,1
5.51,1,1,56,2,0
5.76,0,4,61,1,1
6.23,3,0,65,1,1
5.8,3,2,65,1,1
5.93,0,2,92,1,1
6.43,2,0,85,2,1
5.87,2,4,62,2,1
9.48,3,3,56,0,1
5.4,1,0,85,1,1
7.62,2,4,96,1,1
7.05,2,0,100,1,1
9.91,0,0,58,2,1
5.56,0,1,81,1,0
6.99,1,4,60,2,0
9.85,2,3,57,1,1
9.33,2,1,82,1,1
9.09,0,0,72,0,1
6.29,2,0,74,1,1
5.85,3,0,57,1,1
8.34,0,4,94,0,1
9.65,1,4,71,2,1
7.78,0,1,53,2,1
7.86,2,3,89,1,1
6.4,1,1,52,2,1
8.85,0,2,78,1,1
5.94,3,0,90,0,1
6.62,3,0,78,0,1
7.13,0,0,83,1,1
7.54,3,1,83,0,1
6.21,3,1,77,0,1
5.57,3,0,62,1,0
8.05,1,1,64,1,1
6.44,3,4,72,0,1
7.91,3,4,93,2,1
5.77,3,1,75,2,1
7.41,1,0,53,1,1
7.66,0,1,75,1,1
5.26,2,1,89,2,1
6.68,3,1,58,0,1
5.67,0,2,54,2,0
5.32,3,4,81,2,1
9.95,1,3,69,2,1
6.61,0,3,99,2,1
9.05,1,2,60,1,1
6.27,3,1,64,1,1
8.41,3,2,81,0,1
8.8,1,2,77,0,1
7.98,2,0,71,0,1
7.36,1,4,90,0,1
7.06,3,3,66,2,1
6.74,1,1,75,1,1
9.65,2,3,93,1,1
9.15,1,3,56,0,1
9.83,2,4,91,0,1
5.62,2,3,75,2,1
8.65,1,3,74,2,1
9.69,1,2,59,0,1
5.91,0,4,94,1,1
5.33,3,0,68,1,1
8.71,2,1,60,1,1
7.87,0,3,62,0,1
9.21,1,1,57,1,1
5.7,3,0,89,2,1
8.98,0,1,53,2,1
6.01,2,0,96,0,1
5.82,0,2,80,2,1
5.82,2,3,77,0,1
9.07,1,0,60,1,0
8.33,3,1,92,1,1
7.62,3,3,50,1,1
6.79,3,2,98,2,1
9.39,1,3,96,0,1
6.96,2,0,87,1,1
9.08,1,2,73,0,1
7.2,3,1,96,1,1
6.88,1,2,80,2,1
7.31,1,2,90,2,1
6.51,1,4,95,0,1
8.74,2,2,99,2,1
7.51,0,2,75,2,1
6.16,0,3,98,0,1
9.5,1,1,99,1,1
6.92,0,3,54,2,1
7.72,0,3,69,0,1
9.53,1,0,90,2,1
8.12,1,3,60,2,1
5.58,3,4,82,2,1
9.7,0,4,99,2,1
8.14,2,0,87,0,1
6.67,1,1,76,0,1
5.7,3,1,83,0,1
8.97,2,3,64,2,1
8.1,0,3,81,2,1
7.67,3,3,70,2,1
9.47,1,1,95,0,1
8.94,2,2,54,2,1
5.76,1,4,55,1,1
6.56,0,2,87,2,1
6.24,2,2,71,1,1
8.72,0,1,67,2,1
5.17,0,2,63,0,1
7.85,3,0,59,2,1
8.81,1,3,95,1,1
9.38,2,0,62,1,1
6.71,0,4,80,2,1
9.11,0,3,79,1,1
5.55,2,2,52,1,1
9.23,0,4,79,0,1
5.64,3,3,55,2,1
6.99,3,2,78,2,1
8.99,3,0,57,2,1
5.75,3,3,93,1,1
6.15,0,2,94,2,1
8.61,2,0,92,2,1
8.6,2,4,93,0,1
8.21,2,4,82,0,1
8.47,2,4,66,0,1
7.71,1,4,97,1,1
6.26,2,1,60,2,1
6.73,1,3,62,0,1
5.91,1,3,99,0,1
9.54,3,1,60,0,1
7.92,1,2,80,2,1
7.0,0,2,77,2,0
7.31,1,4,93,2,1
9.74,3,0,55,1,1
5.77,1,2,90,1,1
7.93,0,0,65,0,1
7.53,0,3,53,2,0
8.06,0,0,84,0,1
5.09,3,3,97,2,1
9.36,3,1,75,2,1
9.66,2,1,61,2,1
7.83,3,4,60,1,1
8.48,0,2,86,1,1
9.61,0,4,74,2,1
8.54,3,3,67,0,1
5.76,1,4,68,2,0
7.88,3,0,72,2,1
8.03,3,3,87,0,1
7.12,0,1,67,2,1
8.68,2,2,75,0,1
9.67,0,3,55,1,1
9.63,2,3,53,1,1
7.25,0,0,93,0,1
5.57,3,2,100,1,1
9.92,0,1,78,1,1
9.19,0,3,83,0,1
5.62,0,3,66,1,1
9.6,3,0,92,2,1
9.35,3,4,92,2,1
7.59,3,1,65,0,1
7.96,3,2,51,1,1
7.0,2,3,83,2,1
5.27,2,3,57,2,1
6.68,1,1,62,1,1
9.01,3,4,91,1,1
5.02,2,3,57,2,0
6.67,0,1,79,2,0
6.99,3,0,81,0,1
7.69,1,4,85,0,1
9.6,1,2,96,2,1
6.73,1,3,79,0,1
6.73,0,1,50,2,0
8.69,2,0,92,2,1
7.26,0,2,88,0,1
6.12,3,1,66,0,1
7.26,1,1,69,1,1
5.7,0,2,73,1,0
5.88,0,0,99,1,1
7.49,2,0,71,2,1
7.09,2,4,78,0,1
9.57,1,3,71,2,1
6.81,0,2,93,0,1
7.9,0,2,58,2,1
8.16,2,2,86,1,1
5.07,0,0,59,1,0
8.32,0,3,85,1,1
5.89,0,4,86,2,1
9.81,2,1,77,0,1
5.74,1,1,77,0,1
7.07,3,2,91,1,1
5.43,1,3,92,1,1
9.98,3,0,70,1,1
7.51,0,3,73,1,1
7.98,1,3,91,0,1
5.34,3,0,89,2,1
8.75,2,2,51,2,1
6.05,2,3,57,2,1
9.49,1,1,97,2,1
6.03,1,0,76,1,1
5.95,0,4,71,1,1
5.18,1,2,86,1,1
7.36,0,0,76,2,0
7.82,0,4,78,1,1
5.33,2,4,52,1,1
8.88,2,3,93,0,1
7.27,3,3,62,0,1
7.62,2,3,94,1,1
7.2,2,0,59,0,1
7.0,1,0,85,0,1
7.8,2,2,58,1,1
5.78,3,3,76,1,1
5.91,1,4,83,1,1
9.31,3,1,100,1,1
9.73,2,2,50,2,1
6.87,3,0,81,2,1
6.35,1,2,74,1,1
8.22,0,2,78,0,1
7.04,3,2,56,1,1
5.13,3,2,98,1,1
5.78,1,1,52,0,1
8.58,1,3,69,2,1
8.29,3,4,69,1,1
5.14,2,2,79,1,1
6.11,3,2,84,2,1
6.16,1,2,84,2,1
8.36,0,3,98,0,1
5.1,0,0,88,2,0
5.52,2,0,76,2,1
9.0,3,1,75,2,1
5.89,0,0,63,0,0
8.26,3,2,66,2,1
6.19,1,2,67,2,1
5.5,0,2,94,0,1
6.22,2,1,78,2,1
8.61,1,2,69,2,1
9.28,2,0,76,0,1
9.15,1,3,67,1,1
6.99,0,3,53,0,1
8.34,2,4,50,2,1
6.02,2,0,99,2,0
6.47,1,2,50,2,0
9.48,2,3,75,0,1
5.07,1,0,94,2,1
5.43,1,3,69,2,0
6.04,1,2,72,0,1
5.13,1,3,59,1,1
5.91,0,4,60,1,1
7.92,1,4,90,2,1
7.11,3,3,90,0,1
9.46,2,0,54,2,1
9.09,3,0,50,0,1
6.71,0,0,66,0,1
6.3,3,3,71,1,1
6.9,2,0,83,1,1
7.95,3,2,94,0,1
6.34,0,4,90,2,1
8.12,1,2,78,1,1
7.05,3,0,53,2,1
7.76,0,2,54,1,1
7.18,0,0,60,1,1
6.47,2,3,100,2,1
9.74,2,2,70,1,1
8.82,3,3,84,1,1
5.7,1,3,61,2,0
9.34,0,1,75,1,1
7.44,3,0,100,1,1
9.47,0,4,68,1,1
9.0,0,0,94,2,1
7.13,1,4,56,0,1
5.11,1,0,96,2,0
6.34,3,3,56,0,1
7.71,1,2,75,1,1
8.17,1,2,89,0,1
6.29,3,1,54,2,1
5.7,1,4,70,2,1
9.17,2,4,63,1,1
9.92,0,4,53,0,1
7.63,0,3,72,1,1
5.86,0,4,91,1,1
6.36,0,2,69,2,1
5.09,3,3,64,0,1
9.57,0,0,99,0,1
5.59,0,4,94,0,1
7.88,0,4,78,0,1
6.37,0,0,57,1,0
7.77,2,4,90,1,1
8.26,0,0,97,2,1
9.15,2,3,68,1,1
6.03,3,2,97,1,1
5.05,1,0,88,2,0
5.68,0,1,95,2,1
9.5,1,0,77,2,1
9.37,1,4,95,1,1
7.99,3,3,76,1,1
8.0,1,3,53,2,1
8.33,2,0,64,2,1
5.88,1,2,84,2,1
9.57,1,1,86,1,1
7.09,1,3,50,1,1
6.92,0,4,52,0,1
7.59,0,4,96,1,1
5.23,2,2,73,1,1
5.83,2,3,76,1,1
8.69,0,0,89,2,1
5.41,2,4,85,1,1
8.02,0,2,83,2,1
6.23,3,3,78,0,1
6.95,1,3,73,0,1
6.44,1,3,73,2,1
6.78,2,3,91,2,1
8.6,0,3,53,2,1
6.49,0,4,52,1,1
7.83,2,2,83,0,1
7.38,0,3,98,2,1
8.32,3,1,72,1,1
9.68,1,1,72,0,1
8.66,2,2,94,1,1
6.07,2,0,54,0,1
5.16,0,0,80,1,1
6.31,2,0,90,0,1
7.98,3,1,55,0,1
5.26,0,0,86,1,1
7.48,0,4,59,2,1
7.98,0,3,89,0,1
6.67,0,1,56,2,0
8.85,3,2,88,1,1
5.53,0,2,87,2,0
5.38,2,3,70,2,1
8.64,3,1,69,2,1
7.48,1,0,52,2,1
8.44,1,0,100,2,1
7.17,2,4,71,0,1
6.23,2,4,96,0,1
9.1,3,0,53,0,1
9.0,1,2,77,1,1
8.47,1,2,61,2,1
6.36,1,4,87,0,1
7.95,1,3,100,1,1
